Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
,32.1,1767099758407428,3,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-91",2025-12-30 20:02:37.856620
,32.1,1767099758409639,4,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-100",2025-12-30 20:02:37.736233
95,32.4,1767099758639236,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.970707
96,32.4,1767099758642588,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.969709
,32.4,1767099758649605,3,FORWARD_ENQUEUE,"Msg:531,From:2,Hop:2,NextHop:TBD",2025-12-30 20:02:37.981224
97,35.0,1767099761262832,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:40.597912
,35.0,1767099761262951,2,CYCLE_SYNC,"Cycle=2,From=3,Hop=1,RSSI=-86",2025-12-30 20:02:40.599317
98,35.0,1767099761264203,1,BIDIR_LINK,"NodeID:3,RSSI:-105dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:40.604911
,35.0,1767099761265194,1,GW_RX_DATA,"Msg:531,From:2,Hops:2,Route:[2>3>GW],Lat:2740.9ms,RSSI:-105,TS:1767099761264636",2025-12-30 20:02:40.604911
99,35.0,1767099761271593,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:40.597912
100,36.0,1767099762298837,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:41.633183
101,36.0,1767099762300332,1,BIDIR_LINK,"NodeID:4,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:41.809301
102,36.0,1767099762304259,3,BIDIR_LINK,"NodeID:4,RSSI:-78dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:41.634181
103,36.6,1767099762909231,3,BIDIR_LINK,"NodeID:1,RSSI:-105dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:42.304553
,36.6,1767099762909389,3,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-105",2025-12-30 20:02:42.304553
104,36.6,1767099762912596,4,BIDIR_LINK,"NodeID:1,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:42.304553
,36.6,1767099762912722,4,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-98",2025-12-30 20:02:42.304553
105,37.1,1767099763385236,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:42.717109
106,37.1,1767099763388586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:42.717109
107,39.7,1767099765999850,2,BIDIR_LINK,"NodeID:3,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:45.433159
,39.7,1767099765999984,2,CYCLE_SYNC,"Cycle=3,From=3,Hop=1,RSSI=-87",2025-12-30 20:02:45.433159
108,39.7,1767099766000224,1,BIDIR_LINK,"NodeID:3,RSSI:-108dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:45.433159
,39.7,1767099766000689,1,GW_RX_DATA,"Msg:788,From:3,Hops:1,Route:[3>GW],Lat:106.4ms,RSSI:-108,TS:1767099766000474",2025-12-30 20:02:45.434161
109,39.7,1767099766007618,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:45.334582
110,40.6,1767099766817240,3,BIDIR_LINK,"NodeID:4,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:46.255606
111,40.7,1767099767003322,1,BIDIR_LINK,"NodeID:4,RSSI:-107dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:46.344655
,40.7,1767099767003774,1,GW_RX_DATA,"Msg:1058,From:4,Hops:1,Route:[4>GW],Lat:293.1ms,RSSI:-107,TS:1767099767003561",2025-12-30 20:02:46.345658
112,40.7,1767099767011942,2,BIDIR_LINK,"NodeID:4,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:46.429592
113,41.3,1767099767613238,3,BIDIR_LINK,"NodeID:1,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:46.944591
,41.3,1767099767613376,3,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-102",2025-12-30 20:02:46.947581
114,41.4,1767099767616588,4,BIDIR_LINK,"NodeID:1,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:46.943582
,41.4,1767099767616722,4,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-100",2025-12-30 20:02:46.944591
115,41.9,1767099768122236,3,BIDIR_LINK,"NodeID:2,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:47.581576
116,41.9,1767099768125586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:47.581576
117,44.5,1767099770726830,2,BIDIR_LINK,"NodeID:3,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:50.131042
,44.5,1767099770726959,2,CYCLE_SYNC,"Cycle=4,From=3,Hop=1,RSSI=-87",2025-12-30 20:02:50.132042
118,44.5,1767099770728215,1,BIDIR_LINK,"NodeID:3,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:50.132042
119,44.5,1767099770735580,4,BIDIR_LINK,"NodeID:3,RSSI:-71dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:50.131042
120,45.0,1767099771310240,3,BIDIR_LINK,"NodeID:4,RSSI:-72dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:50.639588
121,45.5,1767099771728868,2,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:51.200730
122,45.5,1767099771730324,1,BIDIR_LINK,"NodeID:4,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:51.201733
123,46.1,1767099772339231,3,BIDIR_LINK,"NodeID:1,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:51.694207
,46.1,1767099772339374,3,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-103",2025-12-30 20:02:51.695204
124,46.1,1767099772342585,4,BIDIR_LINK,"NodeID:1,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:51.694207
,46.1,1767099772342703,4,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-97",2025-12-30 20:02:51.694207
125,46.6,1767099772839236,3,BIDIR_LINK,"NodeID:2,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:52.170500
126,46.6,1767099772842586,4,BIDIR_LINK,"NodeID:2,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:52.169499
127,49.2,1767099775441830,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:54.826777
