Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
,23.8,1767187705673969,3,CYCLE_VAL,"Cycle=2,Progress=2/3,From=1,RSSI=-101",2025-12-31 20:28:23.580164
,23.8,1767187705684228,3,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-101",2025-12-31 20:28:23.580164
96,23.9,1767187705777465,3,NEIGHBOR_ADDED,"NodeID:5,RSSI:-115dBm,Slot:5,Hop:2",2025-12-31 20:28:23.671359
97,23.9,1767187705777658,2,BIDIR_LINK,"NodeID:5,RSSI:-83dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:23.671359
98,23.9,1767187705783291,6,BIDIR_LINK,"NodeID:5,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:23.671359
99,24.5,1767187706383444,3,BIDIR_LINK,"NodeID:2,RSSI:-82dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.406446
100,24.5,1767187706386522,1,RSSI_LOW,"From:N2,RSSI:-117dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:24.273759
101,24.5,1767187706389290,6,BIDIR_LINK,"NodeID:2,RSSI:-92dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.406446
102,24.5,1767187706393533,5,BIDIR_LINK,"NodeID:2,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.406446
,24.5,1767187706393728,5,CYCLE_VAL,"RESET! Got=1,Exp=2,From=2,RSSI=-80",2025-12-31 20:28:24.406446
103,24.5,1767187706394767,4,RSSI_LOW,"From:N2,RSSI:-118dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:24.273759
104,25.1,1767187706989445,3,BIDIR_LINK,"NodeID:6,RSSI:-69dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.881796
105,25.1,1767187706989679,2,BIDIR_LINK,"NodeID:6,RSSI:-93dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.883795
106,25.1,1767187706992509,1,BIDIR_LINK,"NodeID:6,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.881796
107,25.1,1767187706999522,5,BIDIR_LINK,"NodeID:6,RSSI:-96dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.880794
,25.1,1767187706999704,5,CYCLE_VAL,"Cycle=2,Progress=2/3,From=6,RSSI=-96",2025-12-31 20:28:24.883795
108,25.1,1767187707000748,4,BIDIR_LINK,"NodeID:6,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:24.880794
,25.1,1767187707000917,4,CYCLE_VAL,"Cycle=2,Progress=2/3,From=6,RSSI=-99",2025-12-31 20:28:24.883795
,25.1,1767187707009965,5,CYCLE_SYNC,"Cycle=2,From=6,Hop=1,RSSI=-96",2025-12-31 20:28:24.888766
,25.1,1767187707011193,4,CYCLE_SYNC,"Cycle=2,From=6,Hop=1,RSSI=-99",2025-12-31 20:28:24.888766
109,25.7,1767187707595650,2,BIDIR_LINK,"NodeID:3,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:25.488159
110,25.7,1767187707595702,2,BIDIR_LINK,"NodeID:3,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:25.504160
111,25.7,1767187707598509,1,BIDIR_LINK,"NodeID:3,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:25.516676
112,25.7,1767187707601292,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:25.519681
113,26.1,1767187708011906,5,NEIGHBOR_ADDED,"NodeID:3,RSSI:-113dBm,Slot:3,Hop:1",2025-12-31 20:28:25.909123
,26.1,1767187708012115,5,CYCLE_VAL,"RESET! Got=2,Exp=3,From=3,RSSI=-113",2025-12-31 20:28:25.910123
114,26.1,1767187708012962,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:25.897207
,26.1,1767187708013155,4,CYCLE_VAL,"RESET! Got=2,Exp=3,From=3,RSSI=-90",2025-12-31 20:28:25.910123
115,28.2,1767187710086666,2,BIDIR_LINK,"NodeID:1,RSSI:-115dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:27.980016
,28.2,1767187710086885,2,CYCLE_VAL,"RESET! Got=3,Exp=2,From=1,RSSI=-115",2025-12-31 20:28:27.980016
116,28.2,1767187710092293,6,BIDIR_LINK,"NodeID:1,RSSI:-96dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:27.980016
,28.2,1767187710092477,6,CYCLE_VAL,"Cycle=3,Progress=3/3,From=1,RSSI=-96",2025-12-31 20:28:27.980016
,28.2,1767187710097113,2,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-115",2025-12-31 20:28:28.188107
,28.2,1767187710102743,6,CYCLE_VAL,"VALIDATED! Cycle=3,AutoSend=READY",2025-12-31 20:28:28.188107
,28.2,1767187710102833,6,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-96",2025-12-31 20:28:28.189110
117,28.2,1767187710117535,5,RSSI_LOW,"From:N4,RSSI:-124dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:28.189110
118,28.7,1767187710606468,3,BIDIR_LINK,"NodeID:5,RSSI:-115dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:28.602506
119,28.7,1767187710606670,2,BIDIR_LINK,"NodeID:5,RSSI:-84dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:28.602506
120,28.7,1767187710612293,6,BIDIR_LINK,"NodeID:5,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:28.602506
121,29.3,1767187711212446,3,BIDIR_LINK,"NodeID:2,RSSI:-96dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.185454
