Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
112,20.1,1767178318596566,3,BIDIR_LINK,"NodeID:6,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.682738
113,20.1,1767178318600005,1,BIDIR_LINK,"NodeID:6,RSSI:-60dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.861591
,20.1,1767178318600212,1,PKT_RX,"From:6,MsgID:1537,Seq:1,PDR:100.0%",2025-12-31 17:51:56.861591
,20.1,1767178318601090,1,LATENCY,"Node6,MsgID:1537,Hop:1,Lat:90.4ms,RSSI:-60dBm,SNR:12dB",2025-12-31 17:51:56.861591
,20.1,1767178318601350,1,GW_RX_DATA,"Msg:1537,From:6,Hops:1,Route:[6>GW],Lat:90.4ms,RSSI:-60,TS:1767178318601252",2025-12-31 17:51:56.861591
114,20.1,1767178318617250,2,BIDIR_LINK,"NodeID:6,RSSI:-53dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.682738
115,22.2,1767178320691964,5,BIDIR_LINK,"NodeID:1,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:58.778298
,22.2,1767178320692134,5,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-47",2025-12-31 17:51:59.004913
116,22.2,1767178320695597,3,BIDIR_LINK,"NodeID:1,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.004913
,22.2,1767178320695764,3,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-56",2025-12-31 17:51:59.004913
117,22.2,1767178320697017,4,BIDIR_LINK,"NodeID:1,RSSI:-49dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:58.778298
,22.2,1767178320697165,4,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-49",2025-12-31 17:51:59.003406
118,22.2,1767178320716268,2,BIDIR_LINK,"NodeID:1,RSSI:-45dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.003406
,22.2,1767178320716416,2,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-45",2025-12-31 17:51:59.004913
119,22.2,1767178320719668,6,BIDIR_LINK,"NodeID:1,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.003406
,22.2,1767178320719843,6,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-54",2025-12-31 17:51:59.004913
120,22.7,1767178321176955,5,BIDIR_LINK,"NodeID:2,RSSI:-44dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.271766
121,22.7,1767178321180584,3,BIDIR_LINK,"NodeID:2,RSSI:-41dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.273766
122,22.7,1767178321182011,4,BIDIR_LINK,"NodeID:2,RSSI:-67dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.271766
123,22.7,1767178321184016,1,BIDIR_LINK,"NodeID:2,RSSI:-46dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.272768
124,22.7,1767178321204622,6,BIDIR_LINK,"NodeID:2,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.280766
125,23.2,1767178321664939,5,BIDIR_LINK,"NodeID:3,RSSI:-53dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.754706
126,23.2,1767178321670001,4,BIDIR_LINK,"NodeID:3,RSSI:-62dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.910774
127,23.2,1767178321671000,1,BIDIR_LINK,"NodeID:3,RSSI:-57dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.754706
128,23.2,1767178321688263,2,BIDIR_LINK,"NodeID:3,RSSI:-40dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.754706
129,23.2,1767178321692610,6,BIDIR_LINK,"NodeID:3,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:59.910774
